,fecha,obs1,obs2,obs3,r1d1R,r2d1R,r1d1S,r2d1S,r1d2R,r2d2R,r1d2S,r2d2S,obs,year,month,day,hour
32,2020-04-03,3.048,2.297477,2.1,5.0989952087402335,3.439850164640964,3.6207489967346183,4.716269247172554,3.5009269714355464,7.704512288131759,22.30267667770386,28.120802919259003,2.6727385,2020,4,3,0
33,2020-04-04,0.508,0.489516,2.5000000000000004,,,,,,,,,0.498758,2020,4,4,0
34,2020-04-05,0.508,0.322181,0.13,64.77562101185322,68.85244286998832,69.62342536449432,70.3675543476013,38.46461486816406,35.17743595434322,3.7098541259765625,18.97870369125789,0.4150905,2020,4,5,0
35,2020-04-06,31.242000000000004,25.89218,0.5,0.2961912155151362,0.3304532679454661,1.2180096395313735,2.926399416689007,53.2049343585968,51.92765296813769,16.890337705612176,10.272337995702555,28.56709,2020,4,6,0
36,2020-04-07,0.0,0.0,0.13,5.077577590942383,7.992415480354522,6.407499313354491,6.451308648395866,38.03604316711426,35.94287809591477,25.30753898620605,29.43581632376344,0.0,2020,4,7,0
37,2020-04-08,1.27,1.4114030000000002,5.390000000000001,0.0008484357967972,0.0003853069257901,0.0,4.613025721593189e-05,3.073364496231079e-08,0.0003603610472964,0.5111643223735881,0.527758113305425,1.3407015000000002,2020,4,8,0
38,2020-04-09,0.254,0.1038369999999999,0.48,26.390609741210938,29.3677745755394,17.884077072143548,13.878026347414885,26.191375732421875,25.019743995147945,41.3080005645752,38.152162275675806,0.1789184999999999,2020,4,9,0
39,2020-04-10,4.572,3.920496,4.79,19.559585571289062,23.666654410914745,45.02041053771973,48.552279863540775,42.29642868041992,38.6580151967486,70.86988830566406,67.58557364153125,4.246248,2020,4,10,0
40,2020-04-11,10.668,5.034364999999999,4.7700000000000005,34.60915489960461,33.41411158461396,95.9992641210556,78.08125266398953,17.62433242797852,7.81201002438266,78.05831146240234,29.646283529409608,7.8511825,2020,4,11,0
41,2020-04-12,0.0,0.166248,0.02,1.5090384483337402,3.045759100612613,1.7268957694759586,9.714262339470723,26.61398649215699,23.60699100553588,51.99514150619507,41.91844680069357,0.083124,2020,4,12,0
42,2020-04-13,5.3340000000000005,4.102243,0.31,,,,,,,,,4.7181215000000005,2020,4,13,0
43,2020-04-14,12.446,9.610039,2.3400000000000003,,,,,,,,,11.0280195,2020,4,14,0
